step,step_time_s,tokens_this_step,peak_mem_gb,loss
1,4.928961,32768,2.8816,
2,0.310081,32768,2.8816,
3,0.291399,32768,2.8816,
4,0.294938,32768,2.8816,
5,0.296194,32768,2.8816,
6,0.295989,32768,2.8816,
7,0.288675,32768,2.8816,
8,0.287838,32768,2.8816,
9,0.298302,32768,2.8816,
10,0.298926,32768,2.8816,
11,0.292466,32768,2.8816,
12,0.288411,32768,2.8816,
13,0.292427,32768,2.8816,
14,0.283714,32768,2.8816,
15,0.287998,32768,2.8816,
16,0.288376,32768,2.8816,
17,0.293928,32768,2.8816,
18,0.291771,32768,2.8816,
19,0.297260,32768,2.8816,
20,0.289244,32768,2.8816,
21,0.301737,32768,2.8816,
22,0.292402,32768,2.8816,
23,0.292023,32768,2.8816,
24,0.334111,32768,2.8816,
25,0.365284,32768,2.8816,
26,0.332622,32768,2.8816,
27,0.332028,32768,2.8816,
28,0.337435,32768,2.8816,
29,0.337641,32768,2.8816,
30,0.335980,32768,2.8816,
31,0.344053,32768,2.8816,
32,0.327215,32768,2.8816,
33,0.287497,32768,2.8816,
34,0.293088,32768,2.8816,
35,0.293837,32768,2.8816,
36,0.295762,32768,2.8816,
37,0.289297,32768,2.8816,
38,0.287699,32768,2.8816,
39,0.288171,32768,2.8816,
40,0.302370,32768,2.8816,
41,0.292522,32768,2.8816,
42,0.338556,32768,2.8816,
43,0.288571,32768,2.8816,
44,0.288819,32768,2.8816,
45,0.298564,32768,2.8816,
46,0.287858,32768,2.8816,
47,0.290898,32768,2.8816,
48,0.291545,32768,2.8816,
49,0.305364,32768,2.8816,
50,0.287132,32768,2.8816,
51,0.295548,32768,2.8816,
52,0.303445,32768,2.8816,
53,0.289721,32768,2.8816,
54,0.292383,32768,2.8816,
55,0.289432,32768,2.8816,
56,0.293685,32768,2.8816,
57,0.290660,32768,2.8816,
58,0.295494,32768,2.8816,
59,0.287805,32768,2.8816,
60,0.295729,32768,2.8816,
61,0.302787,32768,2.8816,
62,0.291104,32768,2.8816,
63,0.292492,32768,2.8816,
64,0.288401,32768,2.8816,
65,0.289785,32768,2.8816,
66,0.291470,32768,2.8816,
67,0.304992,32768,2.8816,
68,0.293395,32768,2.8816,
69,0.295605,32768,2.8816,
70,0.290565,32768,2.8816,
71,0.291565,32768,2.8816,
72,0.289932,32768,2.8816,
73,0.311206,32768,2.8816,
74,0.295571,32768,2.8816,
75,0.285442,32768,2.8816,
76,0.286391,32768,2.8816,
77,0.287725,32768,2.8816,
78,0.289233,32768,2.8816,
79,0.289409,32768,2.8816,
80,0.291284,32768,2.8816,
81,0.287665,32768,2.8816,
82,0.305716,32768,2.8816,
83,0.315011,32768,2.8816,
84,0.289879,32768,2.8816,
85,0.302176,32768,2.8816,
